Match	LatinskNavn_id	name	Classification	Trophy	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Classification_1
Dinophysis	118283	Dinophysis_(Slekt)	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis (Slekt)	Dinoflagellata
Dinophysis	-841	Dinophysis_20-25_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 20-25 µm	Dinoflagellata
Dinophysis	-591	Dinophysis_25-30_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 25-30 µm	Dinoflagellata
Dinophysis	-842	Dinophysis_30-40_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 30-40 µm	Dinoflagellata
Dinophysis	-843	Dinophysis_40-45_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 40-45 µm	Dinoflagellata
Dinophysis	-844	Dinophysis_45-50_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 45-50 µm	Dinoflagellata
Dinophysis	-845	Dinophysis_50-60_µm	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis 50-60 µm	Dinoflagellata
Dinophysis_acuminata	118284	Dinophysis_acuminata	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata	Dinoflagellata
Dinophysis	118285	Dinophysis_acuta	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuta	Dinoflagellata
Dinophysis	118286	Dinophysis_caudata	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis caudata	Dinoflagellata
Dinophysis	118287	Dinophysis_dens	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis dens	Dinoflagellata
Dinophysis	118288	Dinophysis_norvegica	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis norvegica	Dinoflagellata
